cgpa,branch_code,internship_count,project_count,certification_count,skill_count,placement_probability,placed,salary
8.150378112,5,5,7,5,6,77.92882622,1,9.91
9.122467982,5,5,6,7,11,84.56637719,1,10.72
9.694132105,1,4,10,14,6,74.47425448,1,6.48
8.811877019,3,6,9,8,8,79.60307454,1,7.97
8.475084611,4,0,10,7,10,72.05729563,1,7.15
9.498300857,5,9,8,13,11,97.37798226,1,11.23
9.153161411,3,1,1,7,8,62.50843588,1,6.47
8.887166998,2,3,7,8,3,66.31763532,1,6.32
9.840156659,3,13,7,8,8,86.25878652,1,8.68
7.986765662,5,7,6,3,11,81.31420836,1,9.88
7.557887388,0,3,5,7,10,55.37302844,0,4.34
9.446079331,1,5,8,10,4,71.64839758,1,6.76
7.739242272,5,4,6,6,12,76.83523292,1,9.17
9.159463907,3,2,4,13,10,72.85180897,1,7.02
9.746103868,4,9,8,4,3,84.98545061,1,10.42
9.247041185,3,5,4,4,6,70.57516401,1,8.25
8.874816197,5,7,7,5,7,85.31721133,1,10.44
9.018117473,5,10,8,8,6,90.72263623,1,10.78
9.874745983,5,7,12,8,11,94.84254028,1,11.35
9.581661656,5,8,10,9,15,96.77948776,1,11.29
9.469634578,5,8,6,6,7,89.09178548,1,11.05
8.657222244,3,4,7,8,4,71.66252026,1,7.53
8.869290938,5,10,6,7,8,87.67497639,1,10.56
8.145230053,3,7,9,9,3,76.23812371,1,7.64
7.983845118,5,7,10,10,6,85.7863037,1,10.01
9.248578129,5,2,8,8,7,80.7964675,1,9.38
8.128285196,4,7,9,7,6,80.72448564,1,9.06
9.059420838,2,18,7,8,7,79.42726359,1,7.46
8.495709686,4,1,5,7,8,68.30615954,1,7.47
9.659401027,2,12,14,11,6,84.70860362,1,7.88
6.773659431,3,3,4,9,7,61.34478137,1,6.01
9.170617654,5,7,4,6,8,84.22699533,1,10.8
9.543866605,4,15,7,8,11,90.77489061,1,10.23
9.71310405,1,4,4,11,7,69.1897623,1,6.51
8.795915072,5,4,7,12,7,84.02420106,1,9.99
8.951271293,5,8,10,6,9,91.17493956,1,10.98
8.415145986,4,7,9,2,9,80.86880391,1,9.32
9.803750743,5,4,9,10,7,87.83059503,1,10.65
8.923622775,5,17,10,9,8,92.22651974,1,10.71
9.65514255,4,2,3,7,7,72.58682587,1,8.67
8.094426959,4,6,4,7,6,73.14538231,1,9
9.126328553,4,10,12,11,10,91.9787881,1,10.2
9.689116586,3,6,6,8,11,81.97895751,1,8.48
7.907649104,3,9,5,5,5,71.6094179,1,7.33
8.792212196,4,12,4,6,7,80.36365671,1,9.79
9.185480291,4,5,8,7,12,84.11876787,1,9.93
9.499169559,5,8,8,10,10,96.12179441,1,11.34
9.039635492,4,12,7,5,7,84.80344261,1,10.09
8.469060556,5,2,2,7,4,67.08916693,1,8.39
8.839342088,4,8,13,9,11,89.49132458,1,9.89
8.268657224,5,6,5,6,12,80.95091748,1,10.01
9.87147084,3,7,11,8,10,87.92456149,1,8.79
9.797098277,3,9,5,13,11,88.44386185,1,8.79
9.41365296,3,15,9,7,7,85.0997846,1,8.44
9.414871435,3,9,6,7,4,79.93697709,1,8.36
8.188466664,4,8,7,7,4,79.60537087,1,9.12
8.995700259,0,11,5,7,7,68.91482676,1,5.72
9.599279161,5,10,9,6,5,91.32824395,1,11.47
9.05542536,3,12,11,14,7,87.29351194,1,8.45
9.945024046,3,1,11,9,8,75.67988535,1,6.98
7.648428135,4,5,7,9,6,74.58050313,1,8.77
8.281236528,4,8,5,3,5,75.87008763,1,9.29
9.413833937,5,11,8,14,9,96.62950684,1,11.06
9.236453352,3,12,9,14,3,84.5730837,1,8.39
8.855555505,4,6,12,11,7,85.66241535,1,9.68
8.4670326,5,1,4,4,13,69.83801353,1,8.24
9.416645429,4,7,6,12,12,89.9468853,1,10.13
8.456728608,4,8,10,2,8,82.43160241,1,9.56
9.491738123,5,5,4,10,8,84.7488451,0,11.02
9.742777376,2,8,7,7,9,82.87078043,1,7.8
9.651560389,5,5,6,12,13,89.8594912,1,11.41
7.771077694,4,6,4,8,9,75.3343342,1,8.86
9.150894665,5,3,5,11,11,83.19165621,1,9.83
9.591722087,4,8,7,9,5,87.45236481,1,10.49
8.010852805,3,1,5,10,10,65.95884517,1,5.94
8.168668472,4,3,4,9,8,71.51681974,1,8.13
8.786807937,2,8,9,11,2,77.85954509,0,7.2
7.813069712,2,2,5,11,7,62.29975466,1,5.49
9.612248091,5,16,9,9,6,93.1630416,1,11.35
9.381952263,2,8,7,7,7,80.09877452,1,7.66
9.663756266,5,10,5,9,12,93.25391832,1,11.29
9.892788449,2,2,4,9,7,68.84898913,1,6.69
9.077627297,5,7,5,5,10,85.98447784,1,10.82
8.880531967,5,8,5,5,9,86.59220007,1,10.47
8.945705565,5,5,6,9,13,85.40353516,1,10.61
9.231038842,3,8,6,15,7,84.8217917,1,8.37
9.0334153,5,5,5,8,9,83.28175385,1,10.91
6.747736443,5,2,6,7,11,69.25498688,1,7.32
8.58709056,1,7,8,12,3,73.00511256,1,6.39
8.902532697,0,2,5,13,5,58.79988376,1,4.7
9.648481136,5,2,1,14,5,75.43355932,1,9.67
9.193918388,4,4,9,8,4,78.49238029,1,9.59
9.390337054,4,6,7,9,10,86.73383691,1,10.24
9.374755785,3,8,5,10,5,81.65699595,1,8.45
9.117875573,5,11,9,8,8,91.82159206,1,11.11
9.602311566,0,3,4,8,6,61.07517785,1,5.2
9.888585659,1,7,3,8,3,69.95939785,1,6.87
9.50310963,3,9,4,9,8,81.81255794,1,8.42
9.696142469,2,6,9,4,7,76.34777382,1,7.78
7.332609952,5,12,4,7,7,78.74690634,1,9.42
9.3197079,4,7,10,6,11,87.35726638,1,10.04
8.329593378,2,7,8,9,8,77.38882717,1,7.11
8.388803741,3,4,9,4,4,69.11062197,1,7.17
9.345342864,0,2,10,8,8,64.26338089,1,4.98
9.599721703,3,10,7,12,8,88.78821968,1,8.78
9.041042779,1,5,13,10,8,73.69879002,1,6.5
9.733548599,3,4,5,7,6,74.87148934,1,8.12
9.819272403,5,11,4,9,9,91.14307275,1,11.63
8.704724384,4,9,4,8,9,82.42950949,1,9.72
7.211254997,2,12,5,5,2,63.94670018,1,6.2
8.549354715,5,6,10,10,10,88.70070602,1,10.49
9.700122712,5,8,6,10,5,91.74262008,1,11.48
8.853612725,4,12,9,2,8,82.93264263,1,9.67
8.411985165,4,2,9,12,5,74.57799899,1,7.96
8.768413554,5,9,11,9,11,92.28632992,1,10.7
8.20581362,4,9,6,6,8,80.874845,1,9.39
8.192873051,4,3,5,5,6,67.88158463,1,8.21
9.402407093,0,4,6,10,8,66.71440382,1,5.5
9.559333267,4,6,5,8,5,80.75543343,1,10.15
9.666716449,4,9,4,7,12,86.83608302,1,10.22
9.119807378,1,2,7,3,11,63.05639902,1,5.43
9.528802564,2,4,9,14,8,78.04662844,1,7.2
9.680001253,5,5,8,12,12,92.6602675,1,11.38
9.037320666,5,12,2,9,9,86.28837165,1,10.62
9.734075099,0,3,8,4,7,63.87679237,1,5.29
9.763267142,5,4,5,8,12,84.98315253,1,10.84
8.072482438,1,0,9,4,4,53.26173412,0,4.3
9.054763233,1,5,8,5,3,66.87866816,1,6.5
8.144726243,4,5,13,6,4,74.46292574,1,9.15
7.999878314,5,4,7,5,11,77.87262972,1,9.33
9.434324404,2,4,4,9,8,71.15794737,1,7.24
9.620503633,4,6,10,9,6,86.37153446,1,10.23
8.010311226,4,12,4,11,9,82.15354334,1,9.33
9.832023763,4,3,5,11,13,81.58249697,1,9.64
7.643361565,3,5,8,5,4,68.25620791,1,7.27
9.215948079,4,6,4,7,10,80.70835383,1,9.96
9.394241979,2,10,7,8,4,78.67079948,1,7.46
8.636609084,4,11,7,7,9,85.03410953,1,9.78
8.316002389,4,6,10,4,9,79.02126552,1,9.38
9.38196551,5,5,4,10,10,85.51039569,1,11.1
9.559433363,4,8,6,14,11,92.333156,1,10.2
9.600361973,4,8,5,12,3,86.44703437,1,10.37
9.274442455,4,11,6,8,8,87.24989916,1,10.08
7.909773286,2,3,3,7,7,59.11226697,1,5.94
9.162439125,4,17,10,7,14,89.04023098,1,9.94
9.544440262,4,9,16,10,8,91.74877914,1,10.29
8.351334182,1,4,5,6,5,60.18896784,1,5.68
8.963659874,1,7,11,7,9,75.14429107,1,6.52
8.119943659,5,6,10,8,6,83.12147944,1,10.2
9.855427314,1,6,5,8,7,73.26502358,1,6.78
8.487614286,5,3,1,4,11,70.41008612,1,9.18
9.417923208,1,7,5,5,10,72.99440974,1,6.55
9.540960515,3,7,10,6,3,80.63255155,1,8.52
9.118636374,3,9,4,7,7,78.35522637,1,8.05
8.484145023,4,11,8,4,5,81.53895073,1,9.52
9.44639932,5,7,9,6,14,91.40700808,0,11.13
9.626712806,4,5,8,4,10,83.59724851,1,10.48
9.741607998,0,9,8,6,10,76.4504805,1,5.91
8.65934404,4,11,8,11,10,89.84585036,1,9.65
9.7488447,4,8,6,7,8,88.55570153,1,10.49
9.494040643,2,2,6,4,6,65.48180514,1,6.43
9.783399424,4,13,11,9,9,93.06511807,1,10.47
9.224931856,5,6,10,10,6,89.04597642,1,11.06
9.322054291,3,4,4,11,5,72.72885943,1,7.86
9.389596369,5,10,2,10,8,87.07297127,1,10.86
9.182761236,4,6,7,10,9,85.71233165,1,9.86
7.413805233,5,10,6,5,11,81.91291938,1,9.5
8.592306707,4,3,5,11,9,76.05943166,1,8.71
9.064716497,5,5,7,10,8,86.30150632,1,10.78
9.136939268,4,11,6,8,10,88.01486684,1,10.16
9.141558059,1,7,11,13,4,75.6213595,1,6.62
8.810209118,5,3,5,11,12,81.00797118,1,9.54
8.843026794,2,4,9,11,9,75.94882734,1,6.78
8.524568765,2,6,11,12,10,79.72293346,1,7.25
9.376328772,1,8,4,7,7,73.09336578,1,6.73
9.518386873,4,8,5,11,10,90.02987591,1,10.17
8.438143417,3,2,8,1,9,66.36744682,1,6.49
8.136239616,5,3,8,8,7,77.86661069,1,8.98
7.711041449,4,7,6,6,7,76.80364013,1,8.88
8.744821445,5,9,7,7,7,88.44628523,1,10.62
8.791245274,2,3,5,12,7,68.76709108,1,6.36
8.963821547,3,12,9,11,11,87.86114376,1,8.25
7.967507559,3,8,3,9,3,70.57248402,1,7.47
8.283013472,5,7,12,7,10,87.42560093,1,10.05
8.688958156,2,12,10,10,12,82.56585514,1,7.11
7.97932071,5,11,1,5,8,77.22780671,1,9.82
9.301696954,5,9,11,10,9,95.57053506,1,11.09
8.346568988,3,1,2,4,10,59.57553776,1,6.11
9.57039764,5,7,8,10,13,94.89785419,1,11.35
8.015415245,2,4,8,5,7,67.12836333,1,6.45
8.964220247,4,10,6,9,5,84.64799733,1,9.94
9.706685718,2,3,7,12,9,76.30255949,1,6.99
9.180479938,1,8,13,5,5,74.16794054,1,6.6
9.005996999,3,6,10,5,5,76.77065587,1,7.99
8.438145895,1,9,4,6,10,69.61358359,1,6.27
9.522401664,4,4,10,7,7,81.23444043,1,9.86
9.65121692,5,7,5,11,5,88.17003584,0,11.06
9.541656029,2,9,3,7,2,72.65020478,1,7.44
9.338659227,5,6,7,12,10,91.64738304,1,11.13
9.861660517,2,5,2,6,6,68.93605142,1,7.73
8.755952873,3,5,5,5,12,74.07815436,1,8.08
9.248727595,4,10,5,5,6,82.35640445,1,10.18
9.425641506,0,4,9,12,9,71.31218802,1,5.55
8.780840982,1,11,5,8,11,73.59612839,1,6.31
9.505892025,2,7,9,4,6,76.9864469,1,7.53
9.494597061,3,8,9,11,5,86.18975456,1,8.53
7.409351489,5,4,4,7,4,68.7372467,1,8.84
8.928427479,3,11,8,7,9,84.37346854,1,8.23
8.759151309,5,8,10,9,9,92.04503118,1,10.6
9.360862028,2,4,9,14,4,75.38090747,1,7.18
8.809636929,5,10,9,7,9,90.66091252,1,10.52
7.676708868,5,7,3,5,8,75.9014218,1,9.66
8.449055599,4,5,1,4,8,68.4857901,1,9.29
8.964048309,5,14,6,13,4,88.92007391,1,10.71
8.211105835,2,4,6,5,7,65.13399859,1,6.56
9.712626422,3,3,4,9,6,72.69261759,1,7.67
9.762270005,5,8,6,6,9,91.59417405,1,11.23
9.875146402,1,5,4,11,8,72.89326433,1,6.84
9.111744427,4,9,7,5,8,85.17563046,1,9.91
8.599848678,4,4,7,10,12,80.42230451,1,8.94
9.408918671,3,4,11,11,10,81.89314902,1,8.1
9.528110631,4,11,5,9,9,87.50039672,1,10.46
9.083786794,0,12,3,7,12,68.67267696,1,5.53
8.012109026,5,6,10,1,9,79.82151559,1,9.83
9.550220654,4,5,3,10,8,80.21695711,1,9.99
9.607344734,5,5,10,3,13,86.13160767,1,11.19
8.293047678,2,3,9,4,8,65.44286418,1,6.19
9.65676753,3,7,9,9,8,86.14255364,0,8.56
7.909057691,5,10,7,6,10,85.89158953,1,9.83
8.578975632,2,1,6,14,7,64.98328889,1,5.53
9.715792256,5,4,7,13,14,89.96114616,1,10.61
7.159819052,3,3,4,5,7,60.15688775,1,6.06
9.611805402,5,15,8,11,10,97.32961265,1,11.19
8.956103737,3,4,7,6,7,73.02825769,1,7.57
9.723334656,5,10,8,17,4,94.12264671,1,11.28
8.995957405,4,9,12,7,11,88.47688827,1,9.97
8.185851124,3,4,9,7,3,69.53694822,1,7.29
9.104898515,5,10,6,14,7,91.41558031,1,10.94
9.385749121,5,3,8,6,10,83.81676299,1,9.9
8.256969379,5,11,4,10,12,86.64181807,1,10.31
8.59653967,5,7,5,12,14,88.11478693,1,10.41
8.90796477,5,3,4,11,10,80.19262816,1,9.6
9.794300392,5,8,6,15,6,93.91163945,1,11.58
9.356559713,3,3,12,7,4,73.36442981,1,7.57
8.739399874,5,9,6,8,12,89.24825681,1,10.52
8.468092513,4,4,11,5,9,76.61652147,1,9.01
8.546074958,2,2,3,13,6,62.42503615,1,5.81
9.427768925,3,7,6,5,6,79.00849269,1,8.27
8.794037111,1,10,5,8,4,69.83204286,1,6.29
9.11580346,0,10,9,3,4,68.22157677,1,5.63
8.926677484,3,12,7,10,9,84.45685199,1,8.14
9.383947951,1,5,3,8,7,66.88985523,1,6.67
9.432584044,5,10,5,10,9,91.79546593,1,11.12
8.963733504,1,9,12,12,10,80.97968465,1,6.43
9.45495626,3,13,11,9,6,86.05807185,1,8.45
9.522988237,3,3,6,7,7,74.00508822,1,7.76
8.466718078,5,6,7,6,5,81.49152304,1,10.26
9.35427241,5,14,10,6,4,89.09716471,1,11.1
8.389568036,4,1,10,8,6,70.94319052,1,7.5
8.785683802,3,6,7,3,5,72.90895324,1,8.03
7.37459423,4,8,7,4,6,75.78889969,1,8.74
9.305640271,4,10,10,13,5,89.58940778,1,10.15
9.433181349,5,8,7,10,2,88.95605004,1,10.88
9.330040283,4,4,7,6,9,79.79619028,1,9.63
8.413182973,3,3,4,12,8,70.29019092,1,6.94
9.36851913,5,7,3,8,11,86.06233654,1,11.01
8.86891745,5,6,6,9,13,87.1393587,1,10.48
9.772110462,4,20,8,2,11,89.30091173,1,10.55
9.336290826,4,5,6,5,5,76.76937823,1,10.11
9.252357041,4,13,8,11,12,92.8340223,1,10.33
9.681862863,4,3,4,11,10,79.51488343,1,9.4
8.870797068,4,4,10,8,10,81.60627415,1,9.22
8.666573628,5,7,8,10,8,89.34670784,1,10.66
9.301976588,2,7,13,7,9,79.79120379,1,7.58
9.655668965,0,4,7,4,8,64.57030873,1,5.56
7.97681703,5,7,4,6,9,79.76338566,1,9.98
9.800477389,1,1,3,6,5,57.58760674,1,5.33
9.238033298,5,6,7,6,9,86.73048992,1,11.07
8.382888709,5,2,9,7,8,77.30126046,1,8.75
9.381031707,5,5,7,8,5,84.05418537,1,11.08
8.941834951,5,8,4,7,13,86.94074111,1,10.65
9.308692631,5,12,9,5,10,91.96237414,1,11.2
8.728224933,1,10,13,3,3,68.834346,1,6.31
8.998666539,2,13,7,9,8,80.8346283,1,7.44
8.956519499,3,1,10,7,11,72.04949264,1,6.53
9.228250859,5,13,8,9,6,92.21604899,1,10.83
7.662261713,3,3,3,3,3,56.71964455,1,6.42
8.723927362,0,12,6,7,7,68.51477571,1,5.52
9.455046976,3,1,10,9,5,71.91294467,1,6.66
8.656346361,5,6,7,9,5,83.75231993,1,10.43
8.486254002,4,8,9,7,12,87.12497434,1,9.4
8.278876341,2,3,5,4,7,60.84998906,1,6.05
8.93568114,5,6,9,12,11,91.76911457,1,10.64
9.017343047,4,8,9,10,10,91.53788493,1,10.02
9.888188312,3,7,8,11,4,85.60245565,1,8.56
8.640404233,5,12,8,10,12,92.8054198,1,10.71
7.065483959,5,14,9,6,13,83.67316284,1,9.34
9.584848367,3,2,14,5,4,70.46775444,1,7.24
9.352188381,5,20,11,11,5,93.63498324,1,11.03
9.918914558,0,1,6,11,2,59.71171605,1,4.76
8.461889829,4,4,13,8,11,79.73882441,1,8.84
8.85107221,3,6,10,7,9,80.21895722,1,8.16
9.537900826,4,5,11,9,12,87.23192735,1,10.34
8.672657551,1,9,6,18,9,76.88352779,1,6.38
9.092068856,5,2,7,2,8,75.52224219,1,8.98
8.082104797,2,5,7,10,8,71.64996989,1,6.75
8.185284783,2,6,6,7,13,71.50269226,1,6.72
9.462537661,3,8,8,3,12,84.26425392,1,8.41
8.941032802,5,14,12,12,6,92.79437282,1,10.99
9.449764947,5,8,5,6,9,89.05005985,1,11.05
9.533056121,1,9,7,8,12,80.18287112,1,6.81
8.688971809,3,12,14,8,7,82.3619077,1,7.96
9.337217934,3,4,3,9,10,74.22055268,1,7.88
9.029295262,2,6,5,10,7,74.19811035,1,7.35
8.101205731,2,5,10,6,6,69.20635727,1,6.89
9.168362555,4,5,7,9,8,83.19840955,1,10.1
8.443247558,3,0,4,6,10,61.98233612,1,5.63
9.196437834,4,9,2,8,12,82.60921934,1,10.09
9.318797062,4,7,11,7,9,87.47488971,1,10.05
8.729756288,2,13,8,9,3,77.24557255,1,7.1
9.168426433,4,5,9,15,12,87.65388613,1,10.03
8.896696337,1,2,8,14,6,67.41025407,1,5.43
9.428661274,0,2,2,5,4,52.00751312,0,4.73
9.362017181,1,5,9,11,13,76.12762129,1,6.76
8.626764451,1,1,2,14,9,58.64371172,1,4.84
7.780387763,2,4,4,4,3,57.21708349,1,6.05
8.521596003,2,3,6,8,9,68.25519385,1,6.25
9.435226246,0,7,9,8,8,74.05843553,1,5.83
8.367707823,5,6,4,11,10,84.27569829,1,10.23
9.593790841,2,5,14,6,8,76.26373667,1,7.51
8.999517587,5,6,7,13,8,89.61538638,1,10.9
9.820209438,4,9,6,12,12,93.31749628,1,10.52
8.626285977,3,7,8,6,5,77.81465925,1,7.83
8.661354728,3,16,12,14,14,87.44368012,1,7.96
8.75847518,4,10,9,8,7,86.88577234,1,9.67
8.58185417,3,2,5,14,8,70.96566325,1,6.66
8.498039326,5,15,4,12,15,88.25851761,1,10.36
8.649231505,4,8,7,11,7,87.04617876,1,9.59
7.458611723,4,6,5,6,10,74.70136798,1,8.61
8.501842757,2,2,8,5,6,64.66900059,1,5.97
9.543655431,2,1,8,4,7,66.12751624,1,6.09
8.702373452,3,6,8,7,5,76.94000879,1,7.84
9.125992579,5,10,7,8,10,92.10086906,1,10.88
7.851053335,5,6,4,7,7,76.81778258,1,9.83
9.648120813,0,13,6,7,8,72.8987099,1,5.87
9.521499047,4,10,4,6,9,84.57973155,1,10.42
8.26554222,3,15,8,6,3,76.67047029,1,7.65
9.210453745,4,10,9,11,9,92.19141565,1,10
9.19881924,4,8,9,6,9,88.0172451,1,10.24
8.558472325,3,0,1,11,3,57.17980249,1,5.67
9.254674093,5,9,14,13,7,94.40127458,1,10.93
7.287906963,3,5,5,8,6,66.84998376,1,7.16
8.572892752,5,13,3,10,9,85.41596458,1,10.43
9.542986487,2,6,6,9,9,77.80693924,1,7.46
9.585301623,3,11,2,9,10,81.45451544,1,8.52
9.378287167,3,4,13,9,7,78.06128834,1,8.07
8.955255445,1,4,10,13,9,72.4972599,0,6.08
9.058083023,5,11,10,4,6,87.41578622,1,10.72
9.161469734,5,9,12,12,9,96.06403557,1,11.08
7.888126247,2,4,9,5,6,65.91691305,1,6.34
9.415771765,4,9,2,6,8,81.36520632,1,10.07
9.199628508,4,16,5,13,15,89.52280946,1,10.01
9.358714038,4,4,7,7,10,81.48450924,1,9.75
9.125294689,5,3,7,10,13,84.76055012,1,9.72
9.230034335,2,10,8,12,8,84.89135313,1,7.53
8.641828539,4,5,9,9,10,82.60600453,1,9.62
9.769387052,1,5,8,11,4,74.57416672,1,6.8
9.54897703,3,10,10,8,4,84.25102683,1,8.41
9.017783101,3,4,5,7,9,73.95880128,1,7.58
9.135007203,5,4,9,11,6,85.95804866,1,10.37
9.616531287,3,20,7,11,9,88.79063378,1,8.52
9.316997542,3,5,10,13,3,79.81176838,1,8.27
8.828646386,3,3,9,4,6,70.76822188,1,7.14
9.610330919,3,16,8,11,10,90.78788433,1,8.54
9.223694933,4,7,9,11,7,88.87549416,1,10.12
9.428173253,4,8,15,11,10,93.44666287,1,10.24
8.798820019,4,11,9,11,9,89.51448013,1,9.7
8.65030161,2,13,11,11,8,81.85288923,1,7.19
9.555125417,5,4,7,8,13,86.76035773,1,10.67
7.545230442,3,10,6,3,2,68.08446057,1,7.08
9.3579513,1,5,4,5,4,62.81946812,1,6.48
8.521268855,5,6,7,13,4,84.73627144,1,10.35
9.378627186,3,4,4,10,4,72.39641659,1,7.79
8.095619584,2,0,10,4,4,56.54685476,1,4.88
9.263094036,5,6,12,11,9,92.16574374,1,11.16
9.131622269,1,9,10,7,10,78.19829045,1,6.55
7.832609365,4,7,7,2,7,75.82284778,1,8.97
8.289044256,0,4,4,7,7,56.93410996,1,4.92
9.713775615,4,6,11,6,7,85.63689274,1,10.44
8.553283331,1,7,6,5,5,66.57351208,1,6.29
8.911583377,3,14,5,4,9,77.86638011,1,8.14
8.861234736,3,9,10,6,9,82.90715733,1,8.05
8.898887708,5,6,7,8,6,85.42429871,1,10.56
8.594897961,2,11,6,12,3,75.77349644,1,7.04
8.911687545,3,2,10,7,11,74.048958,1,6.91
9.151619496,3,5,2,8,6,70.48041946,1,8.21
9.518177383,2,2,5,10,6,68.26156282,1,6.55
8.233067561,5,16,5,7,10,85.86317159,1,10.01
8.961191817,4,5,9,15,11,86.31666395,1,9.93
9.328315645,4,17,8,13,11,93.54104164,1,10.28
9.187321949,3,7,7,12,7,84.42793587,1,8.29
9.485612773,4,12,5,9,13,88.13185623,1,10.15
9.220285564,4,4,9,7,6,79.46921486,1,9.35
9.056809487,3,8,10,7,6,82.12353348,1,8.25
9.023613148,1,20,5,9,8,74.51290925,1,6.5
9.331836677,2,9,7,12,6,82.79437149,1,7.54
8.857338638,5,2,5,6,12,75.62596488,1,9
9.899409382,4,7,10,16,11,94.45808168,1,10.72
9.451466177,3,5,8,10,9,82.78493254,1,8.57
9.231796421,4,11,3,10,10,86.0759354,1,10.15
9.306392935,2,3,6,12,4,70.47507732,1,6.83
9.551412271,4,9,10,10,15,93.25129647,1,10.26
9.315331876,1,6,4,3,9,67.59983511,1,6.63
8.606695957,2,1,9,6,11,65.63498846,1,5.61
9.113046111,5,11,9,11,6,92.96298339,1,10.79
9.3103614,2,7,14,6,8,79.3707351,1,7.55
9.15102596,3,5,8,11,3,78.59684217,1,8.33
9.609785242,4,10,5,7,10,87.38022091,1,10.3
9.702996247,5,4,6,12,7,86.70811282,1,10.92
9.357166437,2,15,7,12,7,82.97048528,1,7.51
9.166390431,5,6,10,16,7,90.12832721,1,11.03
9.581868881,5,7,8,3,6,87.56711847,1,11.31
9.846523154,2,7,4,7,6,75.17243325,1,7.74
9.709074478,5,8,2,8,8,86.78594552,1,11.08
9.454662581,4,15,4,8,4,82.29102828,1,10.25
8.256655497,1,3,8,8,11,66.14365059,1,5.51
8.750399691,4,17,7,4,11,84.00528237,1,9.74
9.457260807,4,13,7,9,7,88.45234383,1,10.04
9.147927,0,8,10,12,8,77.02782339,1,5.63
9.563274887,5,5,10,13,8,91.61367156,1,11.22
7.667314845,4,5,3,6,7,68.88989141,1,8.63
8.662745132,1,7,8,7,12,74.44380709,1,6.25
8.728926657,1,2,6,11,8,64.36021531,1,5.38
9.3895314,2,8,8,10,5,82.28286409,1,7.68
8.315320649,2,3,7,4,11,66.02746801,1,6.07
9.649866592,4,9,7,7,7,87.70091724,1,10.17
9.864650089,5,13,6,13,7,95.32749603,1,11.46
8.168415762,5,10,7,6,5,83.38512359,1,10.1
9.615756721,4,3,5,7,5,74.27013823,1,9.38
8.792015737,3,6,7,12,6,80.48513716,1,8.14
9.340599211,2,5,5,7,15,73.21991239,1,7.58
9.083943363,3,8,8,12,4,84.38539806,1,8.43
8.098551493,4,2,8,7,7,71.68115845,1,7.62
8.742770044,5,4,11,8,9,84.05745925,1,9.94
9.541315788,3,7,4,11,7,80.90789424,1,8.55
8.650107627,2,10,10,14,7,81.39080199,1,7.07
9.041906142,5,6,6,13,10,89.30298723,1,10.94
8.900478356,5,9,11,9,9,93.0063442,1,10.7
8.937565409,2,14,7,4,6,75.49519397,1,7.35
8.920009027,4,17,5,5,7,81.76022034,1,9.62
8.642719408,5,12,10,10,15,92.8274079,1,10.55
9.577032725,5,6,8,10,5,89.53655363,1,11.37
9.644773528,5,7,5,17,10,93.07601835,1,11.29
9.039570428,4,9,5,7,9,84.052146,1,10.09
9.587179393,5,5,4,10,8,85.49900582,1,11.16
6.910854761,3,6,1,6,5,59.68245505,1,6.86
9.09671466,4,3,3,13,7,75.00623191,1,8.87
